playlist_url,year,track_id,track_name,track_popularity,album,artist_id,artist_name,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
https://open.spotify.com/playlist/37i9dQZF1DXcagnSNtrGuJ,2011,0JXXNGljqupsJaZsgSbMZV,Sure Thing,86,All I Want Is You,360IAlyVv4PCEVjgyMZrxK,Miguel,"['r&b', 'urban contemporary']",79,0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,195373,4
https://open.spotify.com/playlist/37i9dQZF1DXc6IFF23C9jj,2010,6cmm1LMvZdB5zsCwX5BjqE,Down,80,All Or Nothing,4pADjHPWyrlAF0FA7joK2H,Jay Sean,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",67,0.727,0.68,2,-4.498,1,0.0286,0.0101,0.0,0.0821,0.728,132.012,212507,4
https://open.spotify.com/playlist/37i9dQZF1DWYuGZUE4XQXm,2008,1jJci4qxiYcOHhQR247rEU,Kids,80,Oracular Spectacular,0SwO7SWeDHJijQ3XNS7xEE,MGMT,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']",75,0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,302840,4
https://open.spotify.com/playlist/37i9dQZF1DWVRSukIED0e9,2019,5w9c2J52mkdntKOmRLeM2m,Con Calma,79,Con Calma,4VMYDCV2IEDYJArk749S6m,Daddy Yankee,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",86,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,193227,4
https://open.spotify.com/playlist/2fmTTbBkXi8pewbUvG3CeZ,2020,73SpzrcaHk0RQPFP73vqVR,No Time To Die,76,No Time To Die,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,"['art pop', 'pop']",89,0.38,0.219,4,-13.273,0,0.0358,0.917,0.0104,0.0827,0.0517,73.537,242265,4
https://open.spotify.com/playlist/5GhQiRkGuqzpWZSE7OU4Se,2021,6F2r4HgpJnvKDmkN6JEN6J,As I Am (feat. Khalid),64,Justice,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,"['canadian pop', 'pop']",89,0.595,0.543,11,-8.149,1,0.038,0.127,0.0,0.0975,0.109,99.928,174406,4
https://open.spotify.com/playlist/2fmTTbBkXi8pewbUvG3CeZ,2020,5hvwx5i67IwnCkjl9VHkNv,Diamonds,60,Diamonds,2wY79sveU1sp5g7SokKOiI,Sam Smith,"['pop', 'uk pop']",83,0.653,0.667,10,-6.764,0,0.0423,0.154,0.0,0.107,0.556,104.181,213869,4
https://open.spotify.com/playlist/37i9dQZF1DX9ukdrXQLJGZ,2015,62PaSfnXSMyLshYJrlTuL3,Hello,73,25,4dpARuHxo51G3z768sgnrY,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",85,0.578,0.43,5,-6.134,0,0.0305,0.33,0.0,0.0854,0.288,78.991,295502,4
https://open.spotify.com/playlist/5GhQiRkGuqzpWZSE7OU4Se,2021,4jPy3l0RUwlUI9T5XHBW2m,Mood (feat. iann dior),82,El Dorado,6fWVd57NKTalqvmjRd2t8Z,24kGoldn,"['cali rap', 'pop rap']",71,0.701,0.716,7,-3.671,0,0.0361,0.174,0.0,0.324,0.732,91.007,140533,4
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,3w8Mw9GHYepoTWOSdiyosj,Incomplete,62,Unleash The Dragon,6x9QLdzo6eBZxJ1bHsDkjg,Sisqo,"['contemporary r&b', 'dirty south rap', 'hip pop', 'r&b', 'urban contemporary']",58,0.746,0.443,1,-7.693,0,0.0771,0.282,0.0,0.14,0.272,119.311,274227,4
